Epoch [1/100], Step [400/400], Loss: 0.1606
Epoch [2/100], Step [400/400], Loss: 0.0753
Epoch [3/100], Step [400/400], Loss: 0.0647
Epoch [4/100], Step [400/400], Loss: 0.0272
Epoch [5/100], Step [400/400], Loss: 0.0271
Epoch [6/100], Step [400/400], Loss: 0.0179
Epoch [7/100], Step [400/400], Loss: 0.0179
Epoch [8/100], Step [400/400], Loss: 0.0179
Epoch [9/100], Step [400/400], Loss: 0.0179
Epoch [10/100], Step [400/400], Loss: 0.0179
Epoch [11/100], Step [400/400], Loss: 0.0179
Epoch [12/100], Step [400/400], Loss: 0.0178
Epoch [13/100], Step [400/400], Loss: 0.0170
Epoch [14/100], Step [400/400], Loss: 0.0162
Epoch [15/100], Step [400/400], Loss: 0.0162
Epoch [16/100], Step [400/400], Loss: 0.0162
Epoch [17/100], Step [400/400], Loss: 0.0161
Epoch [18/100], Step [400/400], Loss: 0.0161
Epoch [19/100], Step [400/400], Loss: 0.0161
Epoch [20/100], Step [400/400], Loss: 0.0161
Epoch [21/100], Step [400/400], Loss: 0.0161
Epoch [22/100], Step [400/400], Loss: 0.0160
Epoch [23/100], Step [400/400], Loss: 0.0160
Epoch [24/100], Step [400/400], Loss: 0.0160
Epoch [25/100], Step [400/400], Loss: 0.0160
Epoch [26/100], Step [400/400], Loss: 0.0159
Epoch [27/100], Step [400/400], Loss: 0.0158
Epoch [28/100], Step [400/400], Loss: 0.0158
Epoch [29/100], Step [400/400], Loss: 0.0158
Epoch [30/100], Step [400/400], Loss: 0.0152
Epoch [31/100], Step [400/400], Loss: 0.0152
Epoch [32/100], Step [400/400], Loss: 0.0152
Epoch [33/100], Step [400/400], Loss: 0.0152
Epoch [34/100], Step [400/400], Loss: 0.0152
Epoch [35/100], Step [400/400], Loss: 0.0152
Epoch [36/100], Step [400/400], Loss: 0.0152
Epoch [37/100], Step [400/400], Loss: 0.0152
Epoch [38/100], Step [400/400], Loss: 0.0152
Epoch [39/100], Step [400/400], Loss: 0.0152
Epoch [40/100], Step [400/400], Loss: 0.0151
Epoch [41/100], Step [400/400], Loss: 0.0151
Epoch [42/100], Step [400/400], Loss: 0.0151
Epoch [43/100], Step [400/400], Loss: 0.0151
Epoch [44/100], Step [400/400], Loss: 0.0151
Epoch [45/100], Step [400/400], Loss: 0.0150
Epoch [46/100], Step [400/400], Loss: 0.0150
Epoch [47/100], Step [400/400], Loss: 0.0150
Epoch [48/100], Step [400/400], Loss: 0.0150
Epoch [49/100], Step [400/400], Loss: 0.0150
Epoch [50/100], Step [400/400], Loss: 0.0150
Epoch [51/100], Step [400/400], Loss: 0.0150
Epoch [52/100], Step [400/400], Loss: 0.0150
Epoch [53/100], Step [400/400], Loss: 0.0150
Epoch [54/100], Step [400/400], Loss: 0.0150
Epoch [55/100], Step [400/400], Loss: 0.0150
Epoch [56/100], Step [400/400], Loss: 0.0150
Epoch [57/100], Step [400/400], Loss: 0.0150
Epoch [58/100], Step [400/400], Loss: 0.0150
Epoch [59/100], Step [400/400], Loss: 0.0150
Epoch [60/100], Step [400/400], Loss: 0.0150
Epoch [61/100], Step [400/400], Loss: 0.0150
Epoch [62/100], Step [400/400], Loss: 0.0150
Epoch [63/100], Step [400/400], Loss: 0.0150
Epoch [64/100], Step [400/400], Loss: 0.0150
Epoch [65/100], Step [400/400], Loss: 0.0150
Epoch [66/100], Step [400/400], Loss: 0.0150
Epoch [67/100], Step [400/400], Loss: 0.0150
Epoch [68/100], Step [400/400], Loss: 0.0150
Epoch [69/100], Step [400/400], Loss: 0.0150
Epoch [70/100], Step [400/400], Loss: 0.0150
Epoch [71/100], Step [400/400], Loss: 0.0150
Epoch [72/100], Step [400/400], Loss: 0.0150
Epoch [73/100], Step [400/400], Loss: 0.0150
Epoch [74/100], Step [400/400], Loss: 0.0150
Epoch [75/100], Step [400/400], Loss: 0.0150
Epoch [76/100], Step [400/400], Loss: 0.0150
Epoch [77/100], Step [400/400], Loss: 0.0150
Epoch [78/100], Step [400/400], Loss: 0.0150
Epoch [79/100], Step [400/400], Loss: 0.0150
Epoch [80/100], Step [400/400], Loss: 0.0150
Epoch [81/100], Step [400/400], Loss: 0.0150
Epoch [82/100], Step [400/400], Loss: 0.0150
Epoch [83/100], Step [400/400], Loss: 0.0150
Epoch [84/100], Step [400/400], Loss: 0.0149
Epoch [85/100], Step [400/400], Loss: 0.0149
Epoch [86/100], Step [400/400], Loss: 0.0149
Epoch [87/100], Step [400/400], Loss: 0.0149
Epoch [88/100], Step [400/400], Loss: 0.0149
Epoch [89/100], Step [400/400], Loss: 0.0149
Epoch [90/100], Step [400/400], Loss: 0.0149
Epoch [91/100], Step [400/400], Loss: 0.0149
Epoch [92/100], Step [400/400], Loss: 0.0149
Epoch [93/100], Step [400/400], Loss: 0.0149
Epoch [94/100], Step [400/400], Loss: 0.0149
Epoch [95/100], Step [400/400], Loss: 0.0149
Epoch [96/100], Step [400/400], Loss: 0.0149
Epoch [97/100], Step [400/400], Loss: 0.0149
Epoch [98/100], Step [400/400], Loss: 0.0149
Epoch [99/100], Step [400/400], Loss: 0.0149
Epoch [100/100], Step [400/400], Loss: 0.0149

Average training loss: 0.02
Best training loss: 0.01
Worst training loss: 0.16

Average training time: 6.93 s
Best training time: 5.38 s
Worst training time: 8.83 s

Average testing loss: 0.01
Best testing loss: 0.01
Worst testing loss: 0.02
